origin,dest,count,time
1322,1295,1700,2020/1/1
1322,1207,1900,2020/1/1
1060,1322,1100,2020/1/1
1295,1322,100,2020/1/1
1207,1322,400,2020/1/1
1157,1322,4100,2020/1/1
1223,1322,400,2020/1/1
1322,1157,2500,2020/1/1
1322,1223,1900,2020/1/1
1322,1298,1300,2020/1/1
1322,1345,400,2020/1/1
1298,1322,200,2020/1/1
1345,1322,10,2020/1/1
1197,1322,1600,2020/1/1
1322,1197,2300,2020/1/1
1322,1332,100,2020/1/1
1322,1166,2400,2020/1/1
1332,1322,10,2020/1/1
1166,1322,200,2020/1/1
1134,1322,5800,2020/1/1
1322,1134,4300,2020/1/1
1322,1146,300,2020/1/1
1322,1092,4400,2020/1/1
1146,1322,10,2020/1/1
1092,1322,5000,2020/1/1
1002,1322,500,2020/1/1
1056,1322,2200,2020/1/1
1184,1322,3900,2020/1/1
1322,1002,3000,2020/1/1
1322,1056,4000,2020/1/1
1322,1184,3800,2020/1/1
1290,1322,50,2020/1/2
1306,1322,50,2020/1/2
1010,1322,100,2020/1/2
1177,1322,100,2020/1/2
1243,1322,1400,2020/1/2
1006,1322,60100,2020/1/2
1322,1290,1300,2020/1/2
1322,1306,900,2020/1/2
1322,1010,1700,2020/1/2
1322,1177,2200,2020/1/2
1322,1243,3000,2020/1/2
1322,1006,28000,2020/1/2
1322,1241,15800,2020/1/2
1322,1213,400,2020/1/2
1322,1320,4700,2020/1/2
1322,1165,1300,2020/1/2
1241,1322,69900,2020/1/2
1213,1322,200,2020/1/2
1320,1322,6200,2020/1/2
1165,1322,100,2020/1/2
1191,1322,400,2020/1/2
1051,1322,900,2020/1/2
1029,1322,4300,2020/1/2
1282,1322,11600,2020/1/2
1322,1191,1400,2020/1/2
1322,1051,1400,2020/1/2
1322,1029,3000,2020/1/2
1322,1282,4900,2020/1/2
1202,1322,800,2020/1/2
1322,1202,4500,2020/1/2
1322,1334,50,2020/1/2
1322,1147,2800,2020/1/2
1322,1015,2700,2020/1/2
1334,1322,10,2020/1/2
1147,1322,200,2020/1/2
1015,1322,200,2020/1/2
1322,1298,1400,2020/1/2
1322,1339,100,2020/1/2
1298,1322,300,2020/1/2
1339,1322,10,2020/1/2
1001,1322,10,2020/1/2
1331,1322,50,2020/1/2
1286,1322,3800,2020/1/2
1278,1322,100,2020/1/2
1322,1331,700,2020/1/2
1322,1286,3600,2020/1/2
1322,1278,700,2020/1/2
1256,1322,1400,2020/1/2
1079,1322,1000,2020/1/2
1175,1322,100,2020/1/2
1159,1322,200,2020/1/2
1167,1322,5500,2020/1/2
1172,1322,11400,2020/1/2
1322,1256,3800,2020/1/2
1322,1079,800,2020/1/2
1322,1175,1000,2020/1/2
1322,1159,600,2020/1/2
1322,1167,3200,2020/1/2
1322,1172,18800,2020/1/2
1322,1329,100,2020/1/2
1329,1322,50,2020/1/2
1322,1187,1200,2020/1/2
1322,1060,3700,2020/1/2
1322,1014,3000,2020/1/2
1322,1324,50,2020/1/2
1187,1322,50,2020/1/2
1060,1322,1400,2020/1/2
1014,1322,300,2020/1/2
1012,1322,1200,2020/1/2
1118,1322,1000,2020/1/2
1220,1322,4600,2020/1/2
1322,1012,3200,2020/1/2
1322,1118,4000,2020/1/2
1322,1220,6500,2020/1/2
1322,1146,400,2020/1/2
1340,1322,50,2020/1/2
1062,1322,300,2020/1/2
1322,1062,4700,2020/1/2
1322,1246,4900,2020/1/2
1322,1188,2100,2020/1/2
1246,1322,1200,2020/1/2
1188,1322,300,2020/1/2
1251,1322,800,2020/1/2
1330,1322,50,2020/1/2
1018,1322,4100,2020/1/2
1303,1322,200,2020/1/2
1322,1251,2100,2020/1/2
1322,1330,500,2020/1/2
1322,1018,3800,2020/1/2
1322,1303,2900,2020/1/2
1001,1322,10,2020/1/2
1023,1322,1100,2020/1/2
1258,1322,400,2020/1/2
1322,1001,10,2020/1/2
1322,1023,2900,2020/1/2
1322,1258,3600,2020/1/2
1132,1322,100,2020/1/2
1257,1322,1100,2020/1/2
1169,1322,6700,2020/1/2
1066,1322,34600,2020/1/2
1067,1322,50,2020/1/2
1322,1132,1900,2020/1/2
1322,1257,3400,2020/1/2
1322,1169,6800,2020/1/2
1322,1066,7300,2020/1/2
1322,1067,300,2020/1/2
1322,1088,34100,2020/1/2
1088,1322,16800,2020/1/2
1155,1322,100,2020/1/2
1192,1322,20000,2020/1/2
1319,1322,400,2020/1/2
1322,1155,1200,2020/1/2
1322,1192,11900,2020/1/2
1322,1319,2500,2020/1/2
1322,1284,1800,2020/1/2
1284,1322,200,2020/1/2
1265,1322,2900,2020/1/2
1180,1322,200,2020/1/2
1119,1322,1100,2020/1/2
1322,1265,5100,2020/1/2
1322,1180,2300,2020/1/2
1322,1119,2200,2020/1/2
1222,1322,100,2020/1/2
1248,1322,50,2020/1/2
1115,1322,34900,2020/1/2
1322,1222,1900,2020/1/2
1322,1248,200,2020/1/2
1322,1115,24700,2020/1/2
1055,1322,200,2020/1/2
1326,1322,10,2020/1/2
1322,1055,2500,2020/1/2
1322,1326,500,2020/1/2
1259,1322,50,2020/1/2
1157,1322,4800,2020/1/2
1322,1259,200,2020/1/2
1322,1157,3000,2020/1/2
1322,1125,4100,2020/1/2
1322,1227,800,2020/1/2
1125,1322,2300,2020/1/2
1227,1322,100,2020/1/2
1064,1322,50,2020/1/2
1244,1322,32800,2020/1/2
1322,1244,11000,2020/1/2
1133,1322,12900,2020/1/2
1302,1322,400,2020/1/2
1266,1322,900,2020/1/2
1105,1322,1700,2020/1/2
1149,1322,200,2020/1/2
1322,1133,12000,2020/1/2
1322,1302,3100,2020/1/2
1322,1266,4400,2020/1/2
1322,1105,5900,2020/1/2
1322,1149,3200,2020/1/2
1322,1120,1600,2020/1/2
1322,1295,2000,2020/1/2
1120,1322,50,2020/1/2
1295,1322,100,2020/1/2
1168,1322,1500,2020/1/2
1084,1322,26800,2020/1/2
1070,1322,6700,2020/1/2
1322,1168,1100,2020/1/2
1322,1084,13800,2020/1/2
1322,1070,9100,2020/1/2
1097,1322,142400,2020/1/2
1011,1322,40400,2020/1/2
1217,1322,10000,2020/1/2
1322,1097,52800,2020/1/2
1322,1011,45300,2020/1/2
1322,1217,3400,2020/1/2
1322,1316,1700,2020/1/2
1322,1208,3600,2020/1/2
1316,1322,200,2020/1/2
1208,1322,1100,2020/1/2
1322,1021,5100,2020/1/2
1322,1035,600,2020/1/2
1021,1322,4800,2020/1/2
1035,1322,50,2020/1/2
1135,1322,800,2020/1/2
1322,1135,3100,2020/1/2
1215,1322,16000,2020/1/2
1057,1322,600,2020/1/2
1216,1322,13900,2020/1/2
1183,1322,1300,2020/1/2
1322,1215,20600,2020/1/2
1322,1057,3600,2020/1/2
1322,1216,6700,2020/1/2
1322,1183,3200,2020/1/2
1299,1322,200,2020/1/2
1022,1322,50,2020/1/2
1178,1322,600,2020/1/2
1322,1299,3100,2020/1/2
1322,1022,600,2020/1/2
1322,1178,1700,2020/1/2
1322,1130,5600,2020/1/2
1130,1322,600,2020/1/2
1089,1322,4300,2020/1/2
1322,1089,4000,2020/1/2
1322,1225,1300,2020/1/2
1225,1322,200,2020/1/2
1347,1322,10,2020/1/2
1300,1322,300,2020/1/2
1261,1322,200,2020/1/2
1267,1322,71800,2020/1/2
1322,1300,2000,2020/1/2
1322,1261,2800,2020/1/2
1322,1267,16200,2020/1/2
1322,1190,2400,2020/1/2
1190,1322,100,2020/1/2
1158,1322,500,2020/1/2
1099,1322,200,2020/1/2
